번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
853,900340,윙입푸드,116409,기타 금융업,"40,409,095","188,030,868","0",홍콩달러(HKD),86-760-23215457,"17/F WINSAN TOWER, 98 THOMSON ROAD, WANCHAI, HK ",1324
854,036200,유니셈,032902,특수 목적용 기계 제조업,"30,664,223","15,332,111,500","500",원(KRW)
855,018000,유니슨,032901,일반 목적용 기계 제조업,"93,600,606","46,800,303,000","500",원(KRW)
856,203450,유니온커뮤니티,032604,통신 및 방송 장비 제조업,"14,679,007","7,339,503,500","500",원(KRW)
857,011320,유니크,033003,자동차 신품 부품 제조업,"19,320,695","9,660,347,500","500",원(KRW)
858,086390,유니테스트,032902,특수 목적용 기계 제조업,"21,134,126","10,567,063,000","500",원(KRW)
859,241690,유니테크노,033003,자동차 신품 부품 제조업,"11,927,520","5,963,760,000","500",원(KRW)
860,142210,유니트론텍,074502,자동차 부품 및 내장품 판매업,"9,931,950","4,965,975,000","500",원(KRW)
861,048430,유라테크,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","11,520,000","5,760,000,000","500",원(KRW)
862,206650,유바이오로직스,137001,자연과학 및 공학 연구개발업,"25,566,086","12,783,043,000","500",원(KRW)
863,089850,유비벨록스,105802,소프트웨어 개발 및 공급업,"7,115,697","3,557,848,500","500",원(KRW)
864,032620,유비케어,105802,소프트웨어 개발 및 공급업,"52,197,139","26,098,569,500","500",원(KRW)
865,264450,유비쿼스,032604,통신 및 방송 장비 제조업,"5,123,955","2,561,977,500","500",원(KRW)
866,078070,유비쿼스홀딩스,116409,기타 금융업,"18,696,628","10,348,314,000","500",원(KRW)
867,024800,유성티엔에스,084902,육상 여객 운송업,"27,213,580","13,606,790,000","500",원(KRW)
868,054930,유신,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","3,000,000","15,000,000,000","5,000",원(KRW)
869,069330,유아이디,032602,전자부품 제조업,"11,887,792","5,943,896,000","500",원(KRW)
870,049520,유아이엘,032602,전자부품 제조업,"21,784,936","11,142,469,000","500",원(KRW)
871,287410,유안타제3호스팩,116601,금융 지원 서비스업,"4,235,000","423,500,000","100",원(KRW)
872,056090,유앤아이,032701,의료용 기기 제조업,"7,742,642","3,871,321,000","500",원(KRW)
873,263770,유에스티,032401,1차 철강 제조업,"23,700,172","2,370,017,200","100",원(KRW)
874,195990,유지인트,032902,특수 목적용 기계 제조업,"98,943,021","49,471,510,500","500",원(KRW)
875,023410,유진기업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","77,122,067","38,561,033,500","500",원(KRW)
876,056080,유진로봇,032902,특수 목적용 기계 제조업,"37,512,152","18,756,076,000","500",원(KRW)
